Trim_ID,Make,Model,Year,Style,Trim,Body_style,Description,Rating,EPA_class,Pct_domestic_content,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Engine_size_inches,Max_horsepower,RPM_max_hp,Max_torque,RPM_max_torque,Transmission_type,Transmission_gears,CO2_emmissions,MPG_city,MPG_highway,MPG_combined,Fuel_capacity_gallons,Range_combined,Range_city,Range_highway,Wheelbase_inches,Length_inches,Width_inches,Height_inches,Ground_clearance_inches,Turning_diameter_ft,Front_wheel_size_inches,Rear_wheel_size_inches,Same_size_wheels,Seating_capacity,Cabin_volume_cubic_ft,Cargo_space_cubic_ft,GVWR_pounds,Curb_weight_pounds,Payload_capacity_pounds,Towing_capacity_pounds
408005,Lincoln,MKZ,2020,Lincoln MKZ,MKZ Standard FWD,sedan,"With a terrific twin-turbo V-6 option and an eminently comfy interior, the MKZ IS a quick and serene cruiser that has some unrefined quirks.",4.5,Midsize Cars,0.383333333,foreign,https://www.caranddriver.com/lincoln/mkz/specs/2020/lincoln_mkz_lincoln-mkz_2020/408005,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/lincoln_mkz_lincoln-mkz_2020-1580762270903.jpg,37745,Front Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2,122,245,5500,275,3000,Automatic w/OD,6,7.4,20,31,24,16.5,396,330,511.5,112.2,194.1,73.4,58.2,,38,18 X 8,18 X 8,TRUE,5,96.5,15.4,,3739,,
399689,Lincoln,MKC,2019,Lincoln MKC,MKC Standard AWD,suv,"The MKC is based on the Ford Escape, but few will mistake it—with its elegant sheetmetal, nicer cabin, and distinctive grille—for its mainstream sibling.",6,Small SUV 4WD,0.383333333,foreign,https://www.caranddriver.com/lincoln/mkc/specs/2019/lincoln_mkc_lincoln-mkc_2019/399689,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/lincoln_mkc_lincoln-mkc_2019-1637074397683.jpg,37400,All Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2,122,245,5500,275,3000,Automatic w/OD,6,8.4,19,25,21,15.7,329.7,298.3,392.5,105.9,179.2,73.4,65.2,,38,18 X 8,18 X 8,TRUE,5,97.9,53.1,5020,3997,1023,2000
399552,Lincoln,MKT,2019,Lincoln MKT,MKT 3.5L AWD Reserve,suv,"Stylistically divergent from the Ford Flex with which it shares a platform, the MKT is equally spacious and comfortable.",4,Standard SUV 4WD,0.383333333,foreign,https://www.caranddriver.com/lincoln/mkt/specs/2019/lincoln_mkt_lincoln-mkt_2019/399552,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/lincoln_mkt_lincoln-mkt_2019-1636745734852.jpg,53495,All Wheel Drive,Twin Turbo Premium Unleaded V-6,3.5,213,365,5700,350,3500,Automatic w/OD,6,10.3,15,21,17,18.6,316.2,279,390.6,117.9,207.6,76,67.4,5.9,41.5,20 X 8,20 X 8,TRUE,7,142.3,75.9,6219,5036,1183,2000
395646,Lincoln,MKX,2018,Lincoln MKX,MKX Premiere FWD,suv,The MKX pairs stylish sheetmetal with high levels of standard features to help set it apart from the crossover crowd.,6,Small SUV 2WD,0.383333333,foreign,https://www.caranddriver.com/lincoln/mkx/specs/2018/lincoln_mkx_lincoln-mkx_2018/395646,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/8409.jpg,39960,Front Wheel Drive,Regular Unleaded V-6,3.7,227,303,6500,278,4000,Automatic w/OD,6,8.8,17,25,20,18,360,306,450,112.2,190,76.1,66.2,,,18 X 8,18 X 8,TRUE,5,108.3,68.8,5440,4168,1272,2000
381447,Lincoln,MKS,2016,Lincoln MKS,MKS 4dr Sdn 3.7L FWD,sedan,"Based on the Ford Taurus, the MKS is the luxury car you're likely to be upgraded to the next time you are at Hertz.",4,Large Cars,0.383333333,foreign,https://www.caranddriver.com/lincoln/mks/specs/2016/lincoln_mks_lincoln-mks_2016/381447,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5561.jpg,39935,Front Wheel Drive,Regular Unleaded V-6,3.7,227,305,6500,280,4000,Automatic w/OD,6,8.8,17,26,20,19,380,323,494,112.9,205.6,75.9,61.6,,39.4,19 X 8,19 X 8,TRUE,5,105.8,19.2,,4204,,
326828,Lincoln,Town Car,2011,Lincoln Town Car,Town Car 4dr Sdn Signature Limited,sedan,"A traditional rear-wheel-drive, V-8–powered, six-passenger, full-size sedan, the Town Car is a favorite of livery drivers and retirees because of its space and creamy ride.",3,Large Cars,0.383333333,foreign,https://www.caranddriver.com/lincoln/town-car/specs/2011/lincoln_town-car_lincoln-town-car_2011/326828,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/3851.jpg,48170,Rear Wheel Drive,Gas/Ethanol V8,4.6,281,239,4900,287,4100,Automatic w/OD,4,9.8,16,24,19,19,361,304,456,117.7,215.4,78.5,59,,40.3,17 x -TBD-,17 x -TBD-,TRUE,6,108.7,21,,4345,,
419292,Lotus,Evora GT,2021,Lotus Evora GT,Evora GT Coupe,coupe,"The Lotus Evora GT is a raw mid-engine sports car that triggers a driver's emotions with its supercharged V-6, lightweight composition, and lively controls.",8,Minicompact Cars,,unknown,https://www.caranddriver.com/lotus/evora-gt/specs/2021/lotus_evora-400_evora-gt_2021/419292,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-lotus-evora-gt-mmp-1-1606234124.jpg,99150,Rear Wheel Drive,Supercharger Premium Unleaded V-6,3.5,211,416,7000,317,3500,Manual w/OD,6,8.8,17,26,20,14.5,290,246.5,377,101.4,173,77.6,48.1,,,19 X 8,20 X 10.5,FALSE,4,,,,3175,,
331178,Lotus,Elise,2011,Lotus Elise,Elise 2dr Conv,coupe,The Elise is a pure-driving roadster not for the faint of heart.,9,Two Seater,,unknown,https://www.caranddriver.com/lotus/elise/specs/2011/lotus_elise_lotus-elise_2011/331178,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/3684.jpg,52970,Rear Wheel Drive,Gas I4,1.8,110,190,7800,133,6800,Manual w/OD,6,8.1,21,27,23,10.6,243.8,222.6,286.2,90.5,149,72.8,44,5.3,32.8,16 x 5.5,17 x 7.5,FALSE,2,,,,1984,,
330921,Lotus,Exige,2011,Lotus Exige S / S 260 Sport,Exige 2dr Coupe S240,coupe,The Exige is a track-ready missile that share its chassis and interior with the Elise.,8,Two Seater,,unknown,https://www.caranddriver.com/lotus/exige/specs/2011/lotus_exige_lotus-exige-s-s-260-sport_2011/330921,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4209.jpg,66815,Rear Wheel Drive,Gas I4,1.8,110,240,8000,170,5500,Manual w/OD,6,8.1,21,27,23,10.6,243.8,222.6,286.2,90.5,149.5,68,45.6,4.1,32.8,16 x 6.0,17 x 7.5,FALSE,2,41,4,,2077,,
422376,Maserati,Ghibli,2022,Maserati Ghibli,Ghibli Trofeo 3.8L,sedan,"With a twin-turbocharged V-6 or V-8 engine under its shapely hood, the 2022 Maserati Ghibli is the Italian thoroughbred of the mid-size luxury sedan marketplace.",7,Midsize Cars,0.03,foreign,https://www.caranddriver.com/maserati/ghibli/specs/2022/maserati_ghibli_maserati-ghibli_2022/422376,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/maserati_ghibli_maserati-ghibli_2022-1636988108099.jpg,115795,Rear Wheel Drive,Twin Turbo Premium Unleaded V-8,3.8,232,580,6750,538,2250,Automatic w/OD,8,11.1,13,20,16,21.1,337.6,274.3,422,118,195.7,76.6,57.5,,38.4,21 X 8.5,21 X 10.5,FALSE,5,,17.7,,4341,,
403903,Maserati,GranTurismo,2019,Maserati GranTurismo,GranTurismo Convertible Sport 4.7L,coupe,"Maserati is giving the world a sexy gift in the form of the 2022 GranTurismo sports car, which we hope channels the gorgeous Alfieri concept.",,Subcompact Cars,0.05,foreign,https://www.caranddriver.com/maserati/granturismo/specs/2019/maserati_granturismo_maserati-granturismo_2019/403903,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/maserati_granturismo_maserati-granturismo_2019-1553267622221.jpg,154075,Rear Wheel Drive,Premium Unleaded V-8,4.7,286,454,7000,384,4750,Automatic w/OD,6,11,13,20,16,19.8,316.8,257.4,396,115.8,193.3,75.4,53.3,,40.4,20 X 8.5,20 X 10.5,FALSE,4,85,6.1,,4365,,
423417,Maserati,Levante,2022,Maserati Levante Trofeo,Levante Trofeo 3.8L,suv,"With seductive bodywork and a quartet of hot-blooded engines to choose from, the 2022 Maserati Levante screams Italian exclusivity.",5.5,Standard SUV 4WD,0.02,foreign,https://www.caranddriver.com/maserati/levante/specs/2022/maserati_levante_maserati-levante-trofeo_2022/423417,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/maserati_levante_maserati-levante-trofeo_2022-1627578250782.jpg,154595,All Wheel Drive,Twin Turbo Premium Unleaded V-8,3.8,232,580,6750,538,2500,Automatic w/OD,8,11,13,20,16,21.1,337.6,274.3,422,118.2,197.6,77.4,66.9,8,,22 X 9,22 X 10.5,FALSE,5,108,57.4,6228,5070,1158,
422707,Maserati,Quattroporte,2022,Maserati Quattroporte,Quattroporte Trofeo 3.8L,sedan,"In Italian, Quattroporte means ""four doors,"" but you don't need to speak the language to appreciate the 2021 Maserati Quattroporte's dramatic flair.",6,Large Cars,0.01,foreign,https://www.caranddriver.com/maserati/quattroporte/specs/2022/maserati_quattroporte_maserati-quattroporte_2022/422707,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/maserati_quattroporte_maserati-quattroporte_2022-1625757188427.jpg,148895,Rear Wheel Drive,Twin Turbo Premium Unleaded V-8,3.8,232,580,6750,538,2250,Automatic w/OD,8,11.1,13,20,16,21.1,337.6,274.3,422,124.8,207.2,76.7,58.3,,38.7,21 X 8.5,21 X 10.5,FALSE,5,,18.7,,4409,,
