Trim_ID,Make,Model,Year,Style,Trim,Body_style,EPA_class,Pct_domestic_content,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Engine_size_inches,Max_horsepower,RPM_max_hp,Max_torque,RPM_max_torque,Transmission_type,Transmission_gears,CO2_emmissions,MPG_city,MPG_highway,MPG_combined,Fuel_capacity_gallons,Range_combined,Range_city,Range_highway,Wheelbase_inches,Length_inches,Width_inches,Height_inches,Ground_clearance_inches,Turning_diameter_ft,Front_wheel_size_inches,Rear_wheel_size_inches,Same_size_wheels,Seating_capacity,Cabin_volume_cubic_ft,Cargo_space_cubic_ft,GVWR_pounds,Curb_weight_pounds,Payload_capacity_pounds,Towing_capacity_pounds
417384,Mercedes-AMG,GT53/GT63,2021,Mercedes-AMG GT63 / GT63 S Sedan,AMG GT AMG GT 63 4-Door Coupe,sedan,Compact Cars,0.12,foreign,https://www.caranddriver.com/mercedes-amg/gt53-gt63-2020/specs/2021/mercedes-amg_gt63-gt63-s_mercedes-amg-gt63-gt63-s-sedan_2021/417384,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_gt63-gt63-s_mercedes-amg-gt63-gt63-s-sedan_2021-1623710044314.jpg,148760.0,All Wheel Drive,Twin Turbo Premium Unleaded V-8,4.0,243.0,577.0,5500.0,590.0,2350.0,Automatic w/OD,9,9.8,16.0,21.0,18.0,21.1,379.8,337.6,443.1,116.2,199.2,76.9,56.8,4.6,NA,19 X 9.5,19 X 11,False,5,NA,NA,NA,4707.0,NA,NA
417385,Mercedes-AMG,GT53/GT63,2021,Mercedes-AMG GT63 / GT63 S Sedan,AMG GT AMG GT 63 S 4-Door Coupe,sedan,Compact Cars,0.12,foreign,https://www.caranddriver.com/mercedes-amg/gt53-gt63-2020/specs/2021/mercedes-amg_gt63-gt63-s_mercedes-amg-gt63-gt63-s-sedan_2021/417385,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_gt63-gt63-s_mercedes-amg-gt63-gt63-s-sedan_2021-1623710044314.jpg,170060.0,All Wheel Drive,Twin Turbo Premium Unleaded V-8,4.0,243.0,630.0,5500.0,664.0,2500.0,Automatic w/OD,9,9.8,16.0,21.0,18.0,21.1,379.8,337.6,443.1,116.2,199.2,76.9,57.0,4.6,NA,20 X 9.5,20 X 11,False,5,NA,NA,NA,4722.0,NA,NA
417386,Mercedes-AMG,GT53/GT63,2021,Mercedes-AMG GT53,AMG GT AMG GT 53 4-Door Coupe,sedan,Compact Cars,0.12,foreign,https://www.caranddriver.com/mercedes-amg/gt53-gt63-2020/specs/2021/mercedes-amg_gt63-gt63-s_mercedes-amg-gt53_2021/417386,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_gt63-gt63-s_mercedes-amg-gt53_2021-1623710190701.jpg,107800.0,All Wheel Drive,Intercooled Turbo Gas/Electric I-6,3.0,183.0,429.0,6100.0,384.0,1800.0,Automatic w/OD,9,8.0,20.0,25.0,22.0,21.1,464.20000000000005,422.0,527.5,116.2,199.2,76.9,57.3,4.6,NA,19 X 9.5,19 X 11,False,5,NA,NA,NA,4553.0,NA,NA
417387,Mercedes-AMG,GT53/GT63,2021,Mercedes-AMG GT43,AMG GT AMG GT 43 4-Door Coupe,sedan,Compact Cars,0.12,foreign,https://www.caranddriver.com/mercedes-amg/gt53-gt63-2020/specs/2021/mercedes-amg_gt63-gt63-s_mercedes-amg-gt43_2021/417387,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_gt63-gt63-s_mercedes-amg-gt43_2021-1623710006946.jpg,90950.0,All Wheel Drive,Intercooled Turbo Gas/Electric I-6,3.0,183.0,362.0,5500.0,369.0,1800.0,Automatic w/OD,9,8.0,20.0,25.0,22.0,21.1,464.20000000000005,422.0,527.5,116.2,199.2,76.9,57.3,4.6,NA,19 X 9.5,19 X 11,False,4,NA,NA,NA,4530.0,NA,NA
418134,Mercedes-AMG,S63/S65,2021,Mercedes-AMG S63 4MATIC coupe,AMG S 63 AMG S 63 4MATIC+ Coupe,coupe,Compact Cars,0.01,foreign,https://www.caranddriver.com/mercedes-amg/s63-s65-2020/specs/2021/mercedes-amg_s63-s65_mercedes-amg-s63-4matic-coupe_2021/418134,,174150.0,All Wheel Drive,Twin Turbo Premium Unleaded V-8,4.0,243.0,603.0,5500.0,664.0,2750.0,Automatic w/OD,9,9.3,16.0,26.0,19.0,21.1,400.90000000000003,337.6,548.6,115.9,198.9,75.3,56.0,4.5,NA,20 X 8.5,20 X 9.5,False,4,NA,14.1,NA,4586.0,NA,NA
418135,Mercedes-AMG,S63/S65,2021,Mercedes-AMG S63 4MATIC Cabriolet,AMG S 63 AMG S 63 4MATIC+ Cabriolet,convertible,Subcompact Cars,0.01,foreign,https://www.caranddriver.com/mercedes-amg/s63-s65-2020/specs/2021/mercedes-amg_s63-s65_mercedes-amg-s63-4matic-cabriolet_2021/418135,,186450.0,All Wheel Drive,Twin Turbo Premium Unleaded V-8,4.0,243.0,603.0,5500.0,664.0,2750.0,Automatic w/OD,9,10.3,14.0,24.0,17.0,21.1,358.70000000000005,295.40000000000003,506.40000000000003,115.9,198.9,75.3,56.0,4.5,NA,20 X 8.5,20 X 9.5,False,4,NA,7.0,NA,4817.0,NA,NA
410987,Mercedes-AMG,SLC43,2020,Mercedes-AMG SLC43,AMG SLC 43 AMG SLC 43 Roadster,convertible,Two Seaters,0.0,foreign,https://www.caranddriver.com/mercedes-amg/slc43/specs/2020/mercedes-amg_slc43_mercedes-amg-slc43_2020/410987,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_slc43_mercedes-amg-slc43_2020-1562005918109.jpg,65645.0,Rear Wheel Drive,Twin Turbo Premium Unleaded V-6,3.0,183.0,385.0,6100.0,384.0,2500.0,Automatic w/OD,9,7.7,20.0,29.0,23.0,15.9,365.7,318.0,461.1,95.7,163.1,71.2,51.3,4.1,36.8,18 X 8,18 X 9,False,2,48.8,6.5,NA,3527.0,NA,NA
423226,Mercedes-AMG,CLA45,2022,Mercedes-AMG CLA45,AMG CLA 45 AMG CLA 45 4MATIC Coupe,sedan,Compact Cars,0.02,foreign,https://www.caranddriver.com/mercedes-amg/cla45-4matic-2019/specs/2022/mercedes-amg_cla45-4matic_mercedes-amg-cla45_2022/423226,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_cla45-4matic_mercedes-amg-cla45_2022-1632172443074.jpg,56950.0,All Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2.0,121.0,382.0,6500.0,354.0,4750.0,Auto-Shift Manual w/OD,8,7.6,20.0,29.0,23.0,13.5,310.5,270.0,391.5,107.4,184.8,72.2,55.4,NA,NA,19 X 9,19 X 9,True,5,NA,11.6,NA,3660.0,NA,NA
423227,Mercedes-AMG,CLA45,2022,Mercedes-AMG CLA35,AMG CLA 35 AMG CLA 35 4MATIC Coupe,sedan,Compact Cars,0.02,foreign,https://www.caranddriver.com/mercedes-amg/cla45-4matic-2019/specs/2022/mercedes-amg_cla45-4matic_mercedes-amg-cla35_2022/423227,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_cla45-4matic_mercedes-amg-cla35_2022-1632172662982.jpg,48950.0,All Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2.0,121.0,302.0,5800.0,295.0,3000.0,Auto-Shift Manual w/OD,7,7.2,22.0,29.0,25.0,13.5,337.5,297.0,391.5,107.4,184.8,72.2,55.3,NA,NA,18 X 8,18 X 8,True,5,NA,11.6,NA,3505.0,NA,NA
403159,Mercedes-AMG,GLE43 Coupe / GLE63 S Coupe,2019,Mercedes-AMG GLE43 Coupe 4MATIC,AMG GLE 43 AMG GLE 43 4MATIC Coupe,suv,NA,0.578333334,domestic,https://www.caranddriver.com/mercedes-amg/gle43-coupe-4matic-gle63-s-coupe-4matic/specs/2019/mercedes-amg_gle43-coupe-4matic-gle63-s-coupe-4matic_mercedes-amg-gle43-coupe-4matic_2019/403159,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_gle43-coupe-4matic-gle63-s-coupe-4matic_mercedes-amg-gle43-coupe-4matic_2019-1557509500831.jpg,72345.0,All Wheel Drive,Twin Turbo Premium Unleaded V-6,3.0,183.0,385.0,6100.0,384.0,2500.0,Automatic w/OD,9,9.3,17.0,22.0,19.0,24.6,467.40000000000003,418.20000000000005,541.2,114.8,192.6,78.9,67.7,NA,NA,21 X 10,21 X 11,False,5,NA,60.7,6394.0,4960.0,1434.0,7200.0
403160,Mercedes-AMG,GLE43 Coupe / GLE63 S Coupe,2019,Mercedes-AMG GLE63 Coupe 4MATIC,AMG GLE 63 AMG GLE 63 S 4MATIC Coupe,coupe,Standard SUV 4WD,0.578333334,domestic,https://www.caranddriver.com/mercedes-amg/gle43-coupe-4matic-gle63-s-coupe-4matic/specs/2019/mercedes-amg_gle43-coupe-4matic-gle63-s-coupe-4matic_mercedes-amg-gle63-coupe-4matic_2019/403160,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mercedes-amg_gle43-coupe-4matic-gle63-s-coupe-4matic_mercedes-amg-gle63-coupe-4matic_2019-1557509538506.jpg,113995.0,All Wheel Drive,Twin Turbo Premium Unleaded V-8,5.5,333.0,577.0,5500.0,561.0,1750.0,Automatic w/OD,7,11.8,14.0,18.0,15.0,24.6,369.0,344.40000000000003,442.8,114.8,193.6,78.9,67.6,NA,NA,22 X 10,22 X 11.5,False,5,NA,60.7,6823.0,5379.0,1444.0,7200.0
